,owner_1_score,RATE_owner_1,CAP_AMOUNT_owner_1,PERCENT_OWN_owner_1,years_in_business,RATE_ID_FOR_years_in_business,fsr,INPUT_VALUE_ID_FOR_num_negative_days,RATE_ID_FOR_num_negative_days,INPUT_VALUE_ID_FOR_num_deposits,RATE_ID_FOR_num_deposits,INPUT_VALUE_ID_FOR_monthly_gross,INPUT_VALUE_ID_FOR_average_ledger,INPUT_VALUE_ID_FOR_fc_margin,INPUT_VALUE_ID_FOR_current_position,INPUT_VALUE_ID_FOR_avg_net_deposits,INPUT_VALUE_owner_4,RATE_owner_4,CAP_AMOUNT_owner_4,PERCENT_OWN_owner_4,deal_application_thread_id,completion_status,PCA
312,590.0,1,100000.0,100.0,1.52,1,6.0,0.0,0,17.66666667,0,71951.5,13550.07667,0.19,1.0,71951.5,590.0,1,100000.0,100.0,4410,1,-0.06579670643043557
313,704.0,0,150000.0,100.0,2.31,0,31.0,0.0,0,43.2,0,122193.6,18409.9,0.15,0.0,122193.6,704.0,0,150000.0,100.0,7526,1,0.016629085861458604
314,744.0,0,150000.0,90.0,4.2,0,47.0,0.0,0,125.0,0,102433.25,12222.5,0.12,0.0,102433.25,750.0,0,150000.0,100.0,811,1,-0.012540983966657924
315,620.0,1,100000.0,100.0,2.15,0,29.0,0.0,0,23.33333333,0,0.0,8550.083333,0.0,0.0,0.0,620.0,1,100000.0,100.0,7460,3,-0.22381796863211806
316,649.0,0,150000.0,100.0,18.93,0,70.0,0.0,0,11.5,0,53664.67,11488.5,0.21,1.0,53664.67,649.0,0,150000.0,100.0,3266,1,-0.014949422730128904
317,691.0,0,150000.0,100.0,3.37,0,73.0,0.0,0,0.0,3,0.0,0.0,0.0,0.0,0.0,691.0,0,150000.0,100.0,6407,1,-0.16744782959870388
318,623.0,0,150000.0,100.0,4.72,0,86.0,0.0,0,17.0,0,43919.5,2260.5,0.05,1.0,43919.5,623.0,0,150000.0,100.0,3515,2,-0.018003692800517706
319,570.0,1,100000.0,33.3,2.24,0,2.0,1.6,1,13.6,0,27707.4,1165.2,0.04,1.0,27707.4,618.0,0,150000.0,99.9,2453,1,-0.06352529319240718
320,581.0,1,100000.0,33.0,2.38,0,55.0,7.0,3,77.33333333,0,44091.0,945.0,0.02,0.0,44091.0,561.0,1,100000.0,66.0,2187,1,-0.0917559332893066
321,687.0,0,150000.0,100.0,4.26,0,50.0,0.0,0,8.666666667,3,111407.6667,39669.33333,0.36,1.0,111407.6667,687.0,0,150000.0,100.0,2311,1,0.002490311683853102
322,503.0,2,35000.0,100.0,17.76,0,1.0,0.25,0,4.5,3,99200.5,7020.0,0.07,2.0,99200.5,503.0,2,35000.0,100.0,503,3,-0.130919640976934
323,537.0,2,35000.0,100.0,9.88,0,17.0,0.25,0,32.75,0,115187.0,10049.5,0.09,2.0,115187.0,537.0,2,35000.0,100.0,4122,0,-0.13678333814778948
324,738.0,0,150000.0,100.0,32.58,0,31.0,0.0,0,0.0,3,0.0,0.0,0.0,0.0,0.0,738.0,0,150000.0,100.0,3505,0,-0.16718147458406996
325,595.0,1,100000.0,100.0,8.0,0,25.0,0.0,0,32.5,0,45681.75,17387.0,0.38,2.0,45681.75,595.0,1,100000.0,100.0,6593,0,-0.07360447690994262
326,610.0,0,150000.0,100.0,3.58,0,76.0,0.0,0,0.0,3,0.0,0.0,0.0,0.0,0.0,610.0,0,150000.0,100.0,4729,1,-0.16790686696434962
327,519.0,2,35000.0,100.0,11.05,0,22.0,2.666666667,2,49.66666667,0,18054.0,1418.333333,0.08,0.0,18054.0,519.0,2,35000.0,100.0,4713,1,-0.15503447269990644
328,764.0,0,150000.0,100.0,1.88,1,38.0,0.0,0,6.666666667,2,762712.6667,150000.0,0.2,1.0,762712.6667,764.0,0,150000.0,100.0,7964,2,0.19720698758548913
329,601.0,1,100000.0,100.0,3.97,0,26.0,0.0,0,0.0,2,0.0,0.0,0.0,0.0,0.0,601.0,1,100000.0,100.0,7777,0,-0.22392564406356583
330,620.0,0,150000.0,0.0,8.13,0,79.66666666666667,0.0,0,73.25,0,0.0,27761.0,0.0,2.0,130551.27,694.6666666666666,5,150000.0,100.0,153,2,-0.166981200004758
331,488.0,3,0.0,100.0,5.44,0,4.0,0.25,0,14.0,0,76942.5,6579.0,0.09,0.0,76942.5,488.0,3,0.0,100.0,5529,1,-0.17682151453495698
